country,lead_time_group,n_obs,variable,rmse
Austria,1-6h,4130,pressure_msl,0.4774528867646564
Austria,1-6h,4130,surface_pressure,0.47849643444063183
Austria,1-6h,4130,cloud_cover,25.471971017297683
Austria,1-6h,4130,wind_speed_10m,2.8131557077985594
Austria,1-6h,4130,wind_gusts_10m,5.7598968412877
Austria,13-18h,1866,temperature_2m,1.8006310671777672
Austria,13-18h,1866,relative_humidity_2m,9.098190107756064
Austria,13-18h,1866,dew_point_2m,1.7597074198980234
Austria,13-18h,1866,apparent_temperature,2.1088061164721403
Austria,13-18h,1866,precipitation,0.16257573056026098
Austria,13-18h,1866,rain,0.1391291241375426
Austria,13-18h,1866,showers,0
Austria,13-18h,1866,snowfall,0.04931144324754055
Austria,13-18h,1866,snow_depth,0.004710254258195504
Austria,13-18h,1866,weather_code,26.744614106553627
Austria,13-18h,1866,pressure_msl,0.5499683319344498
Austria,13-18h,1866,surface_pressure,0.5570747360291739
Austria,13-18h,1866,cloud_cover,25.110495365324066
Austria,13-18h,1866,wind_speed_10m,2.8186505630859187
Austria,13-18h,1866,wind_gusts_10m,5.60265019207029
Austria,19-24h,696,temperature_2m,1.812480677661572
Austria,19-24h,696,relative_humidity_2m,8.165141776471799
Austria,19-24h,696,dew_point_2m,1.6314527057302282
Austria,19-24h,696,apparent_temperature,2.1379104096150123
Austria,19-24h,696,precipitation,0.12468350737565194
Austria,19-24h,696,rain,0.1109001829336302
Austria,19-24h,696,showers,0.005360562674188975
Austria,19-24h,696,snowfall,0.03599169763779662
Austria,19-24h,696,snow_depth,0.0044528177828086065
Austria,19-24h,696,weather_code,28.3414119652481
Austria,19-24h,696,pressure_msl,0.5868041244399749
Austria,19-24h,696,surface_pressure,0.6041998603644084
Austria,19-24h,696,cloud_cover,25.14183901319705
Austria,19-24h,696,wind_speed_10m,2.9728416298756715
Austria,19-24h,696,wind_gusts_10m,5.866224186552756
Austria,7-12h,2956,temperature_2m,1.5943340985696743
Austria,7-12h,2956,relative_humidity_2m,9.863582366675653
Austria,7-12h,2956,dew_point_2m,1.6594421678760107
Austria,7-12h,2956,apparent_temperature,1.8104661142214866
Austria,7-12h,2956,precipitation,0.22823942275631376
Austria,7-12h,2956,rain,0.21586249570054467
Austria,7-12h,2956,showers,0.01516708921972796
Austria,7-12h,2956,snowfall,0.04160026282835678
Austria,7-12h,2956,snow_depth,0.004782127303055113
Austria,7-12h,2956,weather_code,26.39397817490115
Austria,7-12h,2956,pressure_msl,0.5337715272490247
Austria,7-12h,2956,surface_pressure,0.5049618482620959
Austria,7-12h,2956,cloud_cover,25.418180445467023
Austria,7-12h,2956,wind_speed_10m,2.886413041055004
Austria,7-12h,2956,wind_gusts_10m,6.17240081327593
Belgium,0h,744,temperature_2m,1.2463602924093111
Belgium,0h,744,relative_humidity_2m,13.836021244236644
Belgium,0h,744,dew_point_2m,6.630995967943407
Belgium,0h,744,apparent_temperature,1.3658468561330739
Belgium,0h,744,precipitation,0.6987315696686481
Belgium,0h,744,rain,0.6913832169558154
Belgium,0h,744,showers,0.005184758473652127
Belgium,0h,744,snowfall,0.06018564470001954
